"time","x_acc","y_acc","z_acc"
"3.892","-0.09660670918747782","-0.16866729840040207","-0.12653028441667555"
"3.909","-0.07901186965554952","-0.15599427931010723","-0.5873264257133006"
"3.925","-0.07747355417236686","-0.15336393080651758","-0.7856301529645919"
"3.942","-0.05282163573578","-0.1419435421258211","-1.0170797784924506"
"3.959","0.009567271627299487","-0.19022095856070517","-1.0034504815906287"
"3.975","0.04921864280775189","-0.25402736803889275","-0.9654472064107656"
"3.992","0.10824088674932718","-0.3242003899395466","-0.9362626129806041"
"4.009","0.11563786513283848","-0.23761750050783156","-0.8475544019579887"
"4.025","0.13991189016774297","-0.20018588773608206","-0.7332166596382856"
"4.042","0.12335662281662226","-0.16515607540905475","-0.4621411261647939"
"4.059","0.1040865435488522","-0.12794190478026865","-0.15559972703456879"
"4.075","0.07791442980766296","-0.12547580692768096","-0.11680910086929798"
"4.092","0.03578837560936808","0.003448679149150848","-0.2652244693577289"
"4.109","-0.033938656089454886","0.1941103672146797","-0.5276859037429094"
"4.125","-0.048146775792539113","0.21710428931117057","-0.5774228713363408"
"4.142","-0.06383187271300703","0.06330839682817459","-0.5512164169341326"
"4.159","-0.12870108911711722","-0.09267711465358734","-0.3617705343991518"
"4.175","-0.11110155514376237","-0.12267536255419254","-0.23078970031440257"
"4.192","-0.05933233280405402","-0.20242519109547136","0.1587222429692745"
"4.209","-0.03424744804399088","-0.23644202698767183","0.5728267757177352"
"4.225","0.03934665261283517","-0.09270634074807166","0.7971183461844921"
"4.241","0.043300650935620064","0.04781739770770073","0.843277455291152"
"4.258","0.014237327531259506","0.30515725129544735","0.8130974210828542"
"4.275","0.042821342986077066","0.3725672382235527","0.7004547922432423"
"4.292","0.02153100993707776","0.27901801691055295","0.6535708759933709"
"4.308","0.0042917058445513245","0.10691840597391128","0.45012744776606556"
"4.325","-0.02647960878778249","-0.05273556488752365","0.2218652201026678"
"4.342","-0.05474284958932549","-0.10189444033205508","0.11347148087918758"
"4.358","-0.07745572625473142","-0.1018587844967842","-0.1081073234975338"
"4.375","-0.05673676335290074","-0.08145254080593585","-0.26941198417544365"
"4.392","-0.05319689878895879","-0.08339666061103343","-0.36600364192426205"
"4.409","-0.023733926808834075","-0.07794716303348541","-0.48399055440127847"
"4.425","-0.021315759751200675","-0.024965514430403707","-0.4858534256637096"
"4.441","-0.03878025090172887","-0.02682254047393799","-0.45837212902009483"
"4.459","-0.03571472585126757","-0.04248597355186939","-0.38217502452433105"
"4.475","0.02964402763545513","-0.06384148079156875","-0.2231020684212446"
"4.492","0.057819845881871876","-0.09967442619502544","-0.155703771930933"
"4.509","0.07357669286429881","-0.21142741271853446","-0.035657004314661025"
"4.525","0.015651559977047143","-0.07125731000602245","-0.05268061982989311"
"4.542","-0.01312514677196741","-0.0009936872124671936","-0.034651626664400095"
"4.559","-0.09308759515061973","0.08713234000802039","0.12037117726504802"
"4.575","-0.14564725548196583","0.025616671815514563","0.3472252916961908"
"4.592","-0.13471315248087048","0.023166940575838086","0.3982774335414171"
"4.609","-0.003286912716180086","-0.061654199880361554","0.4025941276967525"
"4.625","0.01722659074142575","-0.23102643167972564","0.2789034506201744"
"4.642","0.005875760165601969","-0.2317863101363182","0.16195347997546194"
"4.658","-0.0017310615763068199","-0.1518260537147522","-0.46919981250464915"
"4.675","0.10286650023460388","-0.20675123760104178","-1.1158265684485436"
"4.692","0.32285843727868047","-0.3967039006143808","-1.7007330735385418"
"4.708","0.37885742440894243","-0.51811728040874","-1.9849030663847922"
"4.725","0.31526407315954563","-0.48590895524322986","-2.7096879977643487"
"4.742","0.06250964766591786","-0.2717401348620653","-2.720004809117317"
"4.759","-0.07725026681050658","-0.12022563131451607","-2.8741356326431036"
"4.775","0.2022315682195127","-0.23967560208141803","-3.477998767137527"
"4.792","0.6588203209541738","-0.9877163213640451","-4.214682226103544"
"4.809","0.6750335699345916","-0.9979454544335603","-4.066916845956444"
"4.825","0.7547078490216285","-0.0733551590681076","-2.635442027336359"
"4.842","0.1398318106688559","0.4974702136993408","-0.5799842462569474"
"4.859","0.02682020238637924","0.5960498303949833","-0.07107903082966804"
"4.875","-0.07828253246769308","0.5440507630884647","0.7289718616753816"
"4.892","-0.05567412082375958","0.5224181924730539","2.123988296470046"
"4.909","-0.09197656516879796","0.5836755019903183","2.816294853571057"
"4.925","-0.116546066018939","1.040344918745756","3.6361136918634176"
"4.942","-0.2221656643539667","1.341340374186635","4.005032928973436"
"4.959","-0.1998803289182484","1.4165695104330778","4.0869922502577305"
"4.975","-0.15131474319174884","1.430816062450409","4.371176271629333"
"4.992","-0.08655629368573427","1.019842813464999","4.837898295843601"
"5.009","-0.049649727701395745","0.7743570638000965","4.938398651468754"
"5.025","-0.07994359754770994","0.054428340280056","4.879065003490448"
"5.042","-0.05826777231246233","-0.23416823683679103","3.9949253764569757"
"5.059","-0.1286097210392356","-0.12760697373747826","3.267988235479593"
"5.075","-0.15222352859973906","0.11954349426925182","1.7807681487619875"
"5.092","-0.05563318602517247","0.24798048909008502","0.34589901152849195"
"5.109","0.12543050648123025","0.40951545139253137","-0.8892477638274431"
"5.125","0.17487590724956242","0.42714989228248595","-1.2269465177655219"
"5.142","0.19748159721344707","0.46588265078067775","-1.5295938320666551"
"5.159","0.07699775335416198","0.14499533091187478","-1.3873732265651226"
"5.175","-0.016409429139643907","-0.06321545784771442","-1.4444406831771135"
"5.192","-0.06871347074210643","-0.35888299626410003","-1.7311866639912128"
"5.209","0.044991526632010934","-0.3257581407755613","-2.1037427962988615"
"5.225","0.10707944175451993","-0.3672106796264648","-1.9848025286197661"
"5.242","0.09988711909763515","-0.5063461785942316","-1.902259269967675"
"5.259","0.14991232904791832","-0.5827239003539085","-1.6495757177531718"
"5.275","0.14133315514251588","-0.5688917743563652","-1.5601999827325344"
"5.292","0.16218933455795048","-0.503355764606595","-1.5781652630120515"
"5.309","0.27477292668670417","-0.3359539560973644","-1.4800328055620193"
"5.325","0.3574833585992455","-0.19517945775091647","-1.4783581503480672"
